id;nombre;apellido;profesion;fecha;sueldo;comision;Departamento
1;NICOLAS;ROMAN IGLESIAS;1;07/01/2013;1081;0;2
2;DANIEL;SANTANA BLANCO;6;11/02/1998;755;0;1
3;MARCO;RUBIO PASTOR;1;07/05/2012;2824;0;1
4;MARC;SANTOS BLANCO;5;03/06/1998;650;0;5
5;ALONSO;HERRERA DIAZ;2;09/03/2010;2529;936;4
6;RUBEN;REYES FUENTES;1;11/12/1992;2998;0;5
7;JOEL;CRUZ MORA;5;06/07/1992;1275;0;5
8;JOSE;VICENTE SANZ;4;12/12/2007;1076;0;5
9;ISMAEL;MONTERO CARRASCO;4;09/03/2009;1049;0;6
10;MANUEL;NIETO GONZALEZ;6;11/01/1998;2823;0;1
11;ALBERTO;PARRA SANZ;1;03/08/1998;729;0;2
12;GONZALO;PE¥A DIAZ;1;04/10/2005;1633;0;1
13;SAMUEL;GALLEGO LEON;2;07/06/2004;1116;595;1
14;NICOLAS;CASTILLO PRIETO;1;08/07/1998;1505;0;4
15;ERIK;SOTO PEREZ;4;11/03/2010;895;0;6
16;MIGUEL ANGEL;HIDALGO GALLARDO;4;11/02/1999;2981;0;6
17;ADRIAN;CABALLERO GUERRERO;4;11/11/2011;1820;0;4
18;HECTOR;CARRASCO LOZANO;2;08/04/2000;702;809;4
19;SANTIAGO;HERNANDEZ IBA¥EZ;2;07/10/2009;2989;523;2
20;ERIK;MARIN SOLER;5;11/10/2004;2822;0;3
21;MATEO;CABRERA VAZQUEZ;1;08/05/1995;2277;0;1
22;JOEL;SAEZ PASTOR;1;10/02/2002;2996;0;2
23;JOSE;AGUILAR CANO;1;01/02/2007;2496;0;4
24;MARCOS;GIMENEZ VEGA;1;05/01/2007;2051;0;4
25;BRUNO;SANCHEZ MENDEZ;1;06/07/2002;2747;0;4
26;CARLOS;ROJAS DIAZ;2;06/01/2002;1566;898;5
27;JORGE;MARQUEZ CABRERA;1;03/04/1993;1746;0;4
28;JAIME;SANTOS MORALES;2;03/11/2011;1157;527;3
29;DAVID;ALONSO SOTO;1;12/01/2001;2437;0;1
30;ANDRES;NU¥EZ TORRES;3;09/11/2003;2523;0;3
31;BIEL;DOMINGUEZ JIMENEZ;1;06/10/2013;1436;0;1
32;AITOR;MEDINA RUBIO;1;03/09/2009;725;0;4
33;MARIO;FERNANDEZ BLANCO;2;04/11/1992;1949;929;1
34;AITOR;VELASCO PASCUAL;2;05/04/2002;2424;700;5
35;GAEL;HERRERO BENITEZ;3;01/11/2013;2869;0;1
36;GUILLERMO;CRUZ SANCHEZ;5;12/02/2012;1843;0;4
37;BIEL;CABALLERO ROMERO;5;02/02/1991;1524;0;2
38;IZAN;VELASCO NAVARRO;4;12/07/2005;2504;0;4
39;ANTONIO;VAZQUEZ HERNANDEZ;6;11/02/2008;944;0;5
40;ENRIQUE;HERRERO CORTES;2;08/10/2009;715;582;2
41;MIGUEL ANGEL;SERRANO MARTIN;2;08/09/2003;1238;994;4
42;RAFAEL;DOMINGUEZ NIETO;3;12/06/1994;2401;0;4
43;ENRIQUE;DURAN MORALES;5;06/10/2005;1873;0;3
44;JOSE MANUEL;SANTIAGO CRESPO;1;03/08/2008;2596;0;2
45;JON;PEREZ RUBIO;5;08/03/2003;1440;0;1
46;JOEL;BLANCO CRESPO;1;05/05/2000;1103;0;4
47;RODRIGO;SUAREZ DELGADO;5;12/09/2003;2162;0;1
48;FRANCISCO;SOTO BENITEZ;3;04/11/1996;2408;0;3
49;NICOLAS;HIDALGO ALVAREZ;6;11/07/1990;1693;0;5
50;ALBERTO;SERRANO CARMONA;2;04/06/2006;1457;632;5
51;SAUL;MEDINA VELASCO;1;02/06/2009;2269;0;4
52;ANDRES;CRESPO GIMENEZ;2;12/02/1997;1935;913;4
53;CRISTIAN;JIMENEZ CAMPOS;4;03/09/1997;1947;0;1
54;ISMAEL;MARQUEZ DELGADO;1;01/01/2001;775;0;4
55;ALONSO;DIAZ MU¥OZ;2;04/02/1993;1708;948;1
56;ANGEL;GOMEZ VEGA;2;05/03/1999;1904;982;1
57;IVAN;MARTIN MORALES;5;04/11/1993;2436;0;4
58;ASIER;DOMINGUEZ SERRANO;2;10/01/1992;2673;998;2
59;RAYAN;ALONSO ESTEBAN;1;10/06/2000;821;0;6
60;DAVID;RUIZ ROMERO;1;07/08/1994;838;0;3
61;ANTONIO;IGLESIAS SANTOS;4;07/01/1994;2299;0;5
62;LUCAS;GARRIDO RODRIGUEZ;1;06/09/2010;2808;0;1
63;SANTIAGO;CAMPOS GONZALEZ;2;03/06/2000;2467;544;2
64;MARIO;HIDALGO CORTES;2;02/12/1996;2641;625;4
65;ORIOL;AGUILAR ORTIZ;2;08/02/2005;1051;559;3
66;ANDER;ALVAREZ BLANCO;1;09/05/1999;2168;0;3
67;ALEIX;AGUILAR ORTIZ;4;01/11/1994;2795;0;1
68;YAGO;IGLESIAS DOMINGUEZ;6;05/09/1993;1135;0;5
69;ARNAU;MARTINEZ NAVARRO;1;06/03/2013;867;0;6
70;JORDI;MORA GARRIDO;1;09/05/1993;2287;0;2
71;BRUNO;ESTEBAN MORA;4;01/12/1992;2057;0;4
72;ALONSO;FERRER RAMIREZ;2;02/08/1994;1186;914;6
73;JAN;ROJAS NU¥EZ;1;11/07/2009;1151;0;6
74;MARTIN;HERRERA HERRERA;2;02/08/1996;755;625;1
75;JOEL;DELGADO CASTRO;3;10/04/2011;1601;0;4
76;ALVARO;JIMENEZ MORA;1;08/02/1997;2669;0;1
77;AITOR;BRAVO BRAVO;3;01/12/1993;2283;0;4
78;BIEL;CABALLERO MU¥OZ;2;08/05/1991;2967;892;4
79;IAN;VELASCO MARIN;2;07/09/1999;1196;865;4
80;JOAN;RAMOS IBA¥EZ;1;12/01/2007;1803;0;4
81;DIEGO;SANTANA MOYA;1;09/08/2011;2996;0;4
82;VICTOR;GOMEZ IGLESIAS;4;05/12/2011;957;0;4
83;CRISTIAN;RUIZ CORTES;1;08/02/1999;2796;0;6
84;RUBEN;REYES HERRERA;1;09/09/2011;1359;0;2
85;SAMUEL;AGUILAR SANZ;2;03/01/2010;2354;694;2
86;NIL;DOMINGUEZ RAMOS;1;08/12/1993;2153;0;6
87;ISAAC;AGUILAR CASTILLO;2;11/04/1999;710;960;3
88;RAUL;FLORES NU¥EZ;1;01/05/1996;2388;0;4
89;JON;ORTIZ CASTILLO;1;08/02/1993;2595;0;4
90;OSCAR;RUIZ GARRIDO;1;08/03/2009;2913;0;1
91;LEO;JIMENEZ GOMEZ;1;09/08/2004;2512;0;4
92;PABLO;GONZALEZ SUAREZ;2;04/07/1998;2442;753;4
93;JESUS;VARGAS RUIZ;1;05/03/1991;1197;0;2
94;JON;SANTANA CARRASCO;6;05/03/1993;1365;0;3
95;AARON;DURAN MOLINA;1;04/07/1995;955;0;4
96;ISMAEL;CABRERA LOZANO;6;04/04/1998;2414;0;2
97;MIKEL;MARIN CABRERA;1;03/03/2012;706;0;4
98;PEDRO;SAEZ GOMEZ;6;05/05/1991;951;0;1
99;MIGUEL ANGEL;SUAREZ HERRERO;1;06/05/1999;2859;0;3
100;ERIK;FLORES SUAREZ;3;12/10/2008;1909;0;4
101;DIEGO;GALLARDO SAEZ;6;05/07/2003;2462;0;4
102;GUILLERMO;CORTES RUBIO;6;12/04/2004;844;0;4
103;ORIOL;GIL RUIZ;1;09/10/1992;1239;0;6
